Chars,Info
Nombre del asentamiento humano:,CENTRO
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,CECUN.CONTADOR@CITYEXPRESS.COM.MX
Sitio en Internet:,WWW.CITYEXPRESS.COM
Tipo de unidad económica:,Fijo
Latitud:,21.14403986
Longitud:,-86.8224645
Centro comercial:,CITY EXPRESS
Tipo de centro comercial:,
Número de local:,
Establecimiento 113,
id de establecimiento,6273597
Nombre de la unidad económica:,CITY EXPRESS CANCUN
Razón social:,PROMOTORA PLAZA SOL SA DE CV
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,11 a 30 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,NICHUPTE LOTE 301
Número exterior o km:,3
Número o letra interior:,
Nombre del asentamiento humano:,SMZA 8 CANCUN
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,N.GONZALEZ@HOTELESCITY.COM
Sitio en Internet:,WWW.HOTELESCITY.COM
Tipo de unidad económica:,Fijo
Latitud:,21.14404051
Longitud:,-86.82245241
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 114,
id de establecimiento,3631338
Nombre de la unidad económica:,HOTEL ROSA ELENA 2
Razón social:,
Nombre de la clase de actividad:,Moteles
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,LOPEZ PORTILLO
Número exterior o km:,
Número o letra interior:,
Nombre del asentamiento humano:,27
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,9988801339
Correo electrónico:,H1ROSELENA@HOTMAIL.COM
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.17729141
Longitud:,-86.82076343
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 115,
id de establecimiento,6384827
Nombre de la unidad económica:,TERRACARIBE HOTEL
Razón social:,GRUPO PY CARMEN SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,11 a 30 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,LÓPEZ PORTILLO
Número exterior o km:,3
Número o letra interior:,0
Nombre del asentamiento humano:,64 MZ 33 L70
Código postal:,77524
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,FACTURASHOTELTERRACARIBE@GMAIL.COM
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.17739171
Longitud:,-86.82002405
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 116,
id de establecimiento,6885739
Nombre de la unidad económica:,FOUR POINTS BY SHERATON CANCUN
Razón social:,HOSPITALITY CARIBBEAN HOTELS SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,51 a 100 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,TULÚM
Número exterior o km:,12
Número o letra interior:,
Nombre del asentamiento humano:,12
Código postal:,77505
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,DAVID.UICAB@MARRIOTTHOTELS.COM
Sitio en Internet:,WWW.MARRIOTT.COM
Tipo de unidad económica:,Fijo
Latitud:,21.13699939
Longitud:,-86.82704428
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 117,
id de establecimiento,6706752
Nombre de la unidad económica:,CALL CENTER RESERV HOTEL
Razón social:,HAN CLUB SA DE CV
Nombre de la clase de actividad:,Agencias de viajes
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,PRIVADA
Nombre de la vialidad:,NINGUNO
Número exterior o km:,
Número o letra interior:,
Nombre del asentamiento humano:,ZONA HOTELERA
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,9984153109
Correo electrónico:,INFO@RESERVHOTEL.COM
Sitio en Internet:,WWW.RESERVHOTEL.COM
Tipo de unidad económica:,Fijo
Latitud:,21.16329863
Longitud:,-86.8151504
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 118,
id de establecimiento,6742547
Nombre de la unidad económica:,HOTEL ONE CANCUN
Razón social:,OPERADORA HOTELERA BANCO CHINCHORRO SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,11 a 30 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,TULUM
Número exterior o km:,0
Número o letra interior:,
Nombre del asentamiento humano:,SUPERMANZANA
Código postal:,77504
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,CONTRALOR1CUCE@POSADAS.COM
Sitio en Internet:,WWW.ONEHOTELES.COM
Tipo de unidad económica:,Fijo
Latitud:,21.13505578
Longitud:,-86.82799978
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 119,
id de establecimiento,8042201
Nombre de la unidad económica:,HOTELES IN
Razón social:,SERVICIOS Y OPERACIONES HOTELES IN
Nombre de la clase de actividad:,Agencias de viajes
Personal ocupado (estrato):,11 a 30 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,54
Número exterior o km:,0
Número o letra interior:,0
Nombre del asentamiento humano:,REGION 515
Código postal:,77535
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,HOTELESIN.COM
Tipo de unidad económica:,Fijo
Latitud:,21.13374739
Longitud:,-86.87238378
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 120,
id de establecimiento,6383785
Nombre de la unidad económica:,HOTEL BEDS
Razón social:,CLUB TURAVIA SA DE CV
Nombre de la clase de actividad:,Organización de excursiones y paquetes turísticos para agencias de viajes
Personal ocupado (estrato):,101 a 250 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,TULUM MZ 2 LT 1 SM 8
Número exterior o km:,286
Número o letra interior:,
Nombre del asentamiento humano:,8
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,NPECH@HOTELBEDS.COM
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.13302883
Longitud:,-86.8283146
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 121,
id de establecimiento,8762993
Nombre de la unidad económica:,MOTEL KUIKI
Razón social:,HOTEL 22 SA DE CV
Nombre de la clase de actividad:,Moteles
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,102
Número exterior o km:,7
Número o letra interior:,
Nombre del asentamiento humano:,SUPERMANZANA 239
Código postal:,77527
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.1912524
Longitud:,-86.82767341
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 122,
id de establecimiento,8720003
Nombre de la unidad económica:,HOTEL RENAISSANCE CANCUN RESORT & MARINA
Razón social:,OPERADORA MARINA PLAYA BLANCA SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,101 a 250 personas
Tipo de vialidad:,OTRO (ESPECIFIQUE)
Nombre de la vialidad:,SIN REFERENCIA
Número exterior o km:,
Número o letra interior:,
Nombre del asentamiento humano:,ZONA HOTELERA
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.16135229
Longitud:,-86.8098201
Centro comercial:,MARINA TOWN CENTER PUERTO CANCUN
Tipo de centro comercial:,CENTRO Y PLAZA COMERCIAL
Número de local:,SN
Establecimiento 123,
id de establecimiento,8839583
Nombre de la unidad económica:,HOTEL RUTA 7
Razón social:,
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,54
Número exterior o km:,
Número o letra interior:,
Nombre del asentamiento humano:,76
Código postal:,77527
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.18838928
Longitud:,-86.82003658
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 124,
id de establecimiento,8133325
Nombre de la unidad económica:,MR WOOF HOTEL CANINO
Razón social:,
Nombre de la clase de actividad:,Otros servicios personales
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,OLIVO
Número exterior o km:,
Número o letra interior:,
Nombre del asentamiento humano:,SUPERMANZANA 313
Código postal:,77560
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.12171473
Longitud:,-86.85450151
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 125,
id de establecimiento,6384061
Nombre de la unidad económica:,POSADA HOTEL SAN MARCOS
Razón social:,
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,PUERTO JUAREZ
Número exterior o km:,0
Número o letra interior:,0
Nombre del asentamiento humano:,MANZANA 9
Código postal:,77400
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.18321853
Longitud:,-86.80878641
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
